heading,location,content,id,area,n_bedrooms,n_bathrooms,Price
Duplex penthouse for sale in Chueca-Justicia.,"Chueca - Justicia, Madrid city","EXTERIOR DUPLEX PENTHOUSE WITH 6 BALCONIES IN JUSTICIA.

This prodigious duplex penthouse has 350 m², divided into two floors. Currently, it has two spectacular living rooms with 6 exterior balconies, fully equipped kitchen with appliances. Four bedrooms and four bathrooms, the master bedroom with dressing area and en suite bathroom with a beautiful and unique reform. We communicate internally by a staircase of marble and wood with a spectacular design. Each floor has an independent entrance and luxury finishes with the best quality materials. It is located in a stately estate built in 1900 in the Chueca - Justicia neighborhood, enjoying a very good state of preservation. The neighborhood of Justicia - Chueca is, for years, one of the trendiest neighborhoods in the center of the capital. Fuencarral Street has become the spinal cord of Madrid's leisure. Like many other central areas of Madrid, the neighborhood of Chueca has quite an alternative atmosphere and nightlife. Some improvised chroniclers have even compared it to London's Camden Town, New York's East Village, Lisbon's Barrio Alto, Porto's Baixa do Porto or Berlin's Kreuzberg.

Can you imagine living here?",VM2209048,350 m2,4,4,"€ 3,700,000"
Piso en venta exterior en Justicia.,"Chueca - Justicia, Madrid city","EXTERIOR FLAT TO RENOVATE WITH THREE BALCONIES IN CHUECA-JUSTICIA.

The flat is located on the second floor of a classic building, with three exterior balconies built in 1900, with a stately portal, period elevator and porter service. Currently, it is to reform, with three bedrooms and three bathrooms, living room and kitchen. Located in one of the most representative streets of Justicia, surrounded by a wide range of leisure and restaurants, with all services available, business areas and green areas. Perfectly connected by different subway and bus lines. In the Justicia neighborhood, the elegant boulevard of Gran Vía and its neoclassical buildings and luxury boutiques coexist with the original stores of Hortaleza street, the nightclubs of Fuencarral, and the trendy bistros and tapas bars around Santa Bárbara square. Neighbors of all ages gather in the Mercado de San Antón, in the trendiest neighborhood in the center of the capital.

Can you imagine living here?",VM2209047,175 m2,3,2,"€ 1,850,000"
Exterior flat for sale in Justicia.,"Chueca - Justicia, Madrid city","EXTERIOR FLAT TO RENOVATE WITH THREE BALCONIES IN JUSTICIA.

The flat is located on the second floor of a classic building, with three exterior balconies built in 1900, with a stately portal, period elevator and porter service. Currently, it is to reform, with three bedrooms and three bathrooms, living room and kitchen. Located in one of the most representative streets of Justicia, surrounded by a wide range of leisure and restaurants, with all services available, business areas and green areas. Perfectly connected by different subway and bus lines. In the Justicia neighborhood, the elegant boulevard of Gran Vía and its neoclassical buildings and luxury boutiques coexist with the original stores of Hortaleza street, the nightclubs of Fuencarral, and the trendy bistros and tapas bars around Santa Bárbara square. Neighbors of all ages gather in the Mercado de San Antón, in the trendiest neighborhood in the center of the capital.

Can you imagine living here?",VM2209042,168 m2,2,2,"€ 1,850,000"
Flat for sale in Nueva España.,"Nueva España, Madrid city","VERY BRIGHT FLAT WITH LARGE WINDOWS IN NUEVA ESPAÑA.

Wonderful flat of 664 square meters in one of the best streets of Nueva España. Highlight its large spaces and light, with a design reform and with the best qualities thanks to its large windows and the charm of the fireplace in the living room, undoubtedly make it a space of light and comfort like few in the heart of Madrid. Large entrance hall leading to a spacious living room with fireplace and three living areas, with separate dining room, both very bright thanks to its large windows. Two bedrooms en suite, with spectacular windows, the main one with dressing room included, bathtub and hydromassage shower. The fully equipped and furnished kitchen with a stunning design and all high-end appliances. This flat is located in the prestigious residential neighborhood of Nueva España, within the district of Chamartín, north of the capital. It is a very quiet and safe neighborhood, with all the amenities. Chamartin offers a wide range of services, from department stores, stores, pharmacies, kindergartens, schools, colleges, universities, churches, gyms and sports areas, hotels, etc., to a selection of the best bars and restaurants in Madrid.

Can you imagine living here?",VM2209028,664 m2,2,3,"€ 3,990,000"
Flat for sale in Huertas - Cortes (Madrid),"Huertas - Cortes, Madrid city","REFURBISHED EXTERIOR FLAT IN HUERTAS-CORTES.

Spectacular exterior flat with designer refurbishment, custom-made furniture and excellent LED lighting. CURRENTLY UNDER CONSTRUCTION UNTIL THE END OF OCTOBER APPROXIMATELY.

The property is located on the third floor of a classic building without lift from the beginning of the 20th century. The property is accessed through a hallway that gives access to a corridor that leads to the exterior living-dining room with integrated kitchen, fully equipped with high-end appliances. At the entrance, we find a bathroom that acts as a guest toilet and serves the bedroom that does not have an en-suite bathroom. Also exterior, we find the first bedroom with large windows and built-in wardrobe. The other two bedrooms are interior with en-suite bathrooms, one of them with an elegant walk-in closet/dressing room and the other with a built-in wardrobe.

The property has air conditioning and individual heating.

Ideal as an investment product or private home.

Can you imagine living here?",VM2209008,94 m2,3,3,"€ 829,000"
Flat for sale in Preciados.,"Sol, Madrid city","REFURBISHED EXTERIOR FLAT IN SOL.

Spectacular exterior flat with views to Preciados street. The property is located in an early 20th century building with lift. Designer refurbishment with custom-made furniture, wood finishes and excellent LED lighting. The property is distributed in a spacious and bright living-dining room, with two windows overlooking Preciados street. Fully equipped integrated kitchen, with top of the range appliances. Relaxation area with sofas and flat screen TV. Two bedrooms with en-suite bathrooms. One of the bedrooms with an elegant dressing room/walk-in wardrobe.

The property has air conditioning and individual heating.

Ideal as an investment product or private home.

Can you imagine living here?",VM2208018,84 m2,2,2,"€ 819,000"
Flat for sale with Terrace in Conde Orgaz - Piovera (Hortaleza),"Conde Orgaz - Piovera, Madrid Norte","337 sqm flat with a 18sqm Terrace and views in Conde Orgaz - Piovera, Hortaleza.The property has 5 bedrooms, 3 bathrooms, swimming pool, 1 parking space, fitted wardrobes, garden,  heating, concierge and storage room.",VMN2208014,337 m2,5,3,"€ 950,000"
New building for sale in Peñagrande (Madrid).,"Fuentelarreina, Madrid city","Exclusive project of 4 luxury homes with a modern and elegant design, and with a privileged location. Distributed over three floors plus semi-basement, with elevator for 6 people or for a chair for a person with reduced mobility with companion, garden, terraces, private pool and garage, these magnificent villas are located in an exclusive residential area in the northwest of the capital, at the gates of Monte del Pardo.

Main Qualities: Private pool and garden / Private elevator / Armored access door / Interior carpentry in white lacquered wood / Wardrobes with interior textile finish / High performance exterior carpentry / Security glass / Motorized blinds / Porcelain stoneware flooring throughout the house / Large format tiling in bathrooms / NEFF appliances / Silestone kitchen countertop / Aerothermal with support of photovoltaic panels on deck / Underfloor heating and cooling, Additional support through ducts in ceiling / Domotics / Recessed lighting in ceiling / Electrical outlets in terrace / Vehicle charging system / Video intercom.

Can you imagine living here?",ONM2207001,420-432 m2,,,"from € 1,570,000"
New building (work) for sale with Terrace in Club de Golf (Las Rozas),"Club de Golf, Madrid Noroeste","new building (work) with Terrace and views in Club de Golf, Las Rozas.The property has 5 bedrooms, 7 bathrooms, swimming pool, fireplace, parking space, air conditioning, fitted wardrobes, laundry room, balcony, garden,  heating and storage room.",ONM2206003,1170 m2,,,"from € 3,950,000"
House for sale to renovate in Maestro Ripoll,"El Viso, Madrid city","VERY BRIGHT DETACHED HOUSE ON 4 FLOORS IN EL VISO.

In the best area of El Viso, a bright detached house of 370 m² extendable to 558 m² for not having exhausted the buildability. Located on a plot of 380 m². The house, which currently has 4 floors, is completely to reform, which gives you the opportunity to develop a project tailored to your needs. This is a unique opportunity to live in one of the best and exclusive areas of Madrid.

Can you imagine living here?",VM2205087,370 m2,5,4,"€ 4,300,000"
Detached house for sale in Carretera del Plantío area,"Majadahonda, Madrid Noroeste","HOUSE ON A PLOT OF 2,800 SQUARE METERS WITH SWIMMING POOL PLUS SAUNA AND DRESSING ROOM.


Very close to the natural park Cerro del Aire, is this fantastic house on a plot of 2800 m². The wonderful and well-kept garden has a fantastic swimming pool, with large trees and a very large lawn area around it. Once we enter the interior of the house, on the main floor we find a beautiful entrance with a huge hall very bright and with large windows around. The day area is divided into three large living rooms that communicate, overlooking the garden of the house, an office with bathroom and another living room. On the other side of the hall, we access the great kitchen with large island, office and pantry. Attached to it is a living room with direct access to the garden. It also has a service area with bathroom, bedroom and laundry area. On this floor there are two guest toilets. Through a beautiful staircase we go up to the second floor and we find a hall where there are 5 spacious bedrooms, all with en suite bathroom and large closets. It also has an additional room to store linen. The master bedroom also has a sauna and dressing room. Two of the bedrooms have access to a beautiful terrace overlooking the garden. This house, in addition to its wonderful garden and the very good distribution of the interior of it, is distinguished by its great tennis court and the very large garage with a capacity for 10 cars and endless possibilities. It is located in a strategic residential area, quiet, but at the same time fantastically communicated and with all kinds of services at hand, with bus at the door and less than 10 minutes walk from the Renfe station and with direct access to the A6 and the M-503. A 5 minute walk from downtown and very close to Monte del Pilar, with shopping areas, services, health center, schools and green areas.


Can you imagine living here?",VMO2205010,600 m2,6,12,"€ 1,990,000"
Flat for sale in Chueca - Justicia (Madrid),"Chueca - Justicia, Madrid city","EXTERIOR FLAT WITH BALCONIES, LUXURY REFORM AND REMARKABLE LUMINOSITY.

Spectacular flat totally exterior in chamfer, it is a second floor of 94 m² built according to cadastre of which 87 are fully exploited housing, the exquisite luxury reform has been carried out by the architecture studio Euroturner; It has a semicircular living room in chamfer with 3 balconies from floor to ceiling that brings great luminosity to the entire room. Fully equipped kitchen with a large island and decorative wooden panels on the walls that camouflage the sink area and give the room a multipurpose use. Continuing with this paneling structure we find the courtesy toilet. The sleeping area consists of a first exterior bedroom with access from the living room, with en suite bathroom with shower and a floor to ceiling soundproofed balcony. The master bedroom also exterior with large soundproofed window communicates, through a glass panel, with a very large bathroom with freestanding designer bathtub, separate shower and large exterior windows. Fitted closets well dressed. Soundproof windows in the bedrooms. Wooden floors. Marble bathrooms. LED lights. Independent natural gas heating and ducted air conditioning. High ceilings. The apartment has a storage room of about 6 m², elevator with direct access and a large roof terrace for communal use.

Can you imagine living here?",VM2205050,94 m2,2,3,"€ 990,000"
Renovated 4-bedroom house for sale in Atocha,"Huertas - Cortes, Madrid city","BRAND NEW EXTERIOR FLAT WITH LUXURY QUALITIES AND SOUTH FACING.


Aproperties Real Estate Madrid offers an exclusive flat renovated brand new with luxury qualities in a classic estate of 1900 in the exclusive neighborhood of Las Letras. The flat, completely exterior, is arranged in three clearly differentiated areas, private bedroom area, social area and service area. We access the house through a beautiful hall that leads us to the living - dining room with three rooms, original fireplace of the time, and original hydraulic floors combined with oak flooring, and two large south facing balconies. The kitchen, semi-integrated, very spacious and with island, has designer furniture and high-end appliances, stone countertops and a beautiful fireplace. The service area, completely independent, has a maid's room with en suite bathroom, laundry room and guest toilet. The sleeping area consists of 3 bedrooms, all with en suite bathroom. The master bedroom, with balcony-viewpoint and electric fireplace, also has a huge dressing room and bathroom with shower and bathtub. The rest of the bedrooms have built-in closet or dressing room respectively and both have private bathroom with shower. It should be noted that the house is equipped with state-of-the-art home automation, ducted air conditioning and adjustable lighting in each room. It has a storage room of about 5 m² on the top floor of the building. The flat has been renovated using quality materials and the best brands, taking care of every detail and respecting beautiful original elements of the time such as fireplaces, hydraulic tile flooring, exposed brick or exterior carpentry. The location is unbeatable, a step away from the Atocha traffic circle and in front of the Botanical Garden. The neighborhood of the letters offers magnificent buildings and palaces of the eighteenth century, besides being next to one of the largest concentrations of museums in the world, among which stand out for its importance the Prado Museum, the Thyssen-Bornemisza, the Reina Sofia Museum and the Caixa-Forum. The area is perfectly connected by public transport with the whole city. All this makes this property an excellent opportunity to live or invest in this exclusive enclave.

Can you imagine living here?",VM2205025,204 m2,4,5,"€ 1,280,000"
Detached house for sale with swimming pool in Castillo - Campodón,"Castillo – Campodón, Madrid Noroeste","HOUSE WITH GARDEN, SOLARIUM AND SWIMMING POOL ON LARGE PLOT.

Aproperties presents this classic and cozy detached villa of 368 m², according to land registry, with swimming pool and consolidated garden on a plot of 1,152 m². Located very close to the Villaviciosa Equestrian Club. The house is distributed over three floors: On the main floor we find a spacious living room with several environments and large windows located in different orientations that provide light at any time of day, a toilet along with a cabinet cabinet and a comfortable fitted kitchen, with office area and side access door to the garden. From the living room you can access the spacious and beautiful covered porch, which allows you to enjoy the outdoors at any time of the year. From the porch you can see the swimming pool with solarium and the garden. From the large entrance we access the main staircase that leads to the second floor where the sleeping area is located, which consists of two bedrooms with fitted closets and a bedroom with dressing room and terrace sharing a bathroom and a bedroom en suite with dressing room and closet. Through the main staircase we descend to the first floor where we find an apartment consisting of a spacious living-bedroom, with a simple kitchen-office and a bathroom. On the other hand, there is also a large storage room with a row of fitted closets, a party room and a bathroom that can be accessed from the outside, also serving the pool. From this access leads to the garage with capacity for several cars. Castillo - Campodon are two of the most prestigious developments in Madrid, located in Villaviciosa de Odon, a town located just 15 km from the capital. Very quiet urbanizations and full of green areas. 60% of its municipal area is located within the Regional Park of the Middle Course of the Guadarrama River and has wide avenues and numerous green areas, all this without giving up all kinds of services and quality facilities such as clinics, hospitals, shopping, sports and leisure centers, golf course, horse riding, public and private schools and universities. Easy communication with bus lines, suburban and metrosur that connect directly with the capital. With direct access to the M506 that links to the M501, M50, M40 and A5. All this makes Villaviciosa de Odón one of the best areas of the capital to live, without losing its village charm and tranquility.

Can you imagine living here?",VMO2204010,368 m2,5,5,"€ 790,000"
New building (work) for sale with Terrace in Canillejas (San Blas),"Canillejas, Madrid city","new building (work) with Terrace in Canillejas, San Blas., air conditioning, fitted wardrobes and  heating.",ONM2204006,604 m2,,,"from € 1,700,000"
New building for sale in Madrid,"Valdeacederas, Madrid city","New development in the Berruguete neighbourhood.

The development has 8 dwellings with 1, 2 and 3 bedrooms with 1 and 2 bathrooms and 4 parking spaces in the basement.

Hydraulic lift with stop in all homes.

All homes have 1.45 m² balconies, 9.5 m² terraces on the first floor and the penthouses have 11.3 m² terraces.

The price includes 7 storage rooms.

The finishes of the homes will be by the firm Porcelanosa.

 

About the area:

Tetuán - Berruguete

Berruguete is a neighbourhood located in the north of Madrid (district of Tetuán), close to the new development of ""Renazca"", with very good communications and services and next to ""las torres de tetuán"". Main urban development close to the neighbourhood: ""Renazca"". The project is the renovation of the business block of Madrid that joins Nuevos Ministerios with the Santiago Bernabéu. It will have a large central green area where the priority will be pedestrians, it will improve the circulation of cars through underground roads and it will also recover old canals for the reuse of water.",ONM2204007,700 m2,,,"from € 2,300,000"
New building (work) for sale with Terrace in Legazpi (Madrid),"Legazpi, Madrid city","new building (work) with Terrace in Legazpi, Madrid., parking space, air conditioning, fitted wardrobes and  heating.",ONM2204004,364 m2,,,"from € 1,300,000"
New building (work) for sale with Terrace in Valdeacederas (Madrid),"Valdeacederas, Madrid city","new building (work) with Terrace in Valdeacederas, Madrid., air conditioning, fitted wardrobes and  heating.",ONM2204005,573 m2,,,"from € 1,600,000"
Flat for sale in Recoletos.,"Recoletos, Madrid city","BRAND NEW FLAT WITH DOORMAN IN JORGE JUAN.

AProperties presents a fantastic and elegant brand new flat in a privileged location that stands out for its excellent reform. Located on the 1st floor of a building from 1891, with 133 m² of living space. From the entrance we access directly to the living room, fully ornamented with washed wood that gives it an exceptional design. The kitchen, of modern style, is independent, is fully equipped with plenty of storage capacity and has a large island. A guest toilet serves the guests. The night area has four double bedrooms, all of them en suite and the master bedroom also has a large dressing room, free-standing bathtub, large shower and double sink. It is necessary to highlight the successful renovation carried out, both for its modern design, making a successful use of wood and other fine materials, and for its excellent execution. This fantastic apartment has air conditioning duct, heating and hot water by radiators common design. Being located in the indoor area, the building does not have an elevator; the access stairs have wrought iron railings, are representative and protected. The elegant entrance hall is regal, typical of that era, with high ceilings, and has a doorman. Undoubtedly a unique, cheerful and excellently located property.

Can you imagine living here?",VM2210032,133 m2,3,4,"€ 1,300,000"
New development in Valdeacederas.,"Valdeacederas, Madrid city","EXCLUSIVE RESIDENTIAL TOWER IN TETUÁN.

Discover this spectacular residential project of 100 metres high with 25 floors and which has achieved the BREEAM Seal of Sustainability.

It has a strategic location, with panoramic views over the whole of Madrid and La Sierra and just a few minutes from Paseo de la Castellana, the 4 Towers, Azca, Chamartín station, the north and northeast accesses to the M-30 and a multitude of green and sports areas.

The available typologies are 2 and 3 bedroom apartments, with or without terrace, with fully equipped kitchens, underfloor heating and ducted air conditioning. All homes include a storage room and parking space in the price. The building has a hotel-style concierge service and has large communal areas comprising: urban vegetable garden, gastroteca, gym, terraces, gardens and 2 swimming pools, one of which is on the rooftop.

Can you imagine living here?",ONM2210002,61-284 m2,,,"from € 707,000"
Flat for sale in José Abascal.,"Nuevos Ministerios - Ríos Rosas, Madrid city","FLAT WITH TERRACE, FIREPLACE, GYM AND TWO STORAGE ROOMS.

Located in the neighborhood of Nuevos Ministerios - Ríos Rosas, close to Paseo de la Castellana, between Zurbano and Plaza de Gregorio Marañón, five minutes walk from Serrano and Velázquez, is located this impressive 596 m² property. The flat has a spacious entrance hall and distributor. The day area consists of three living rooms connected by sliding doors. The main living room has a fireplace and a large terrace of 20 m², as well as a large dining room and a guest toilet. The service area has direct access and kitchen, office, pantry, dining room, two large corridors with fitted closets and cupboards and a bedroom with bathroom for the service. In the night area there are four bedrooms of which the master bedroom is en suite with a large dressing room; another with en suite bathroom and two more sharing a bathroom and a games room or gym with window to patio lights, all connected by a corridor with windows to the courtyard also with leaded glass. The flat has central heating by Natural Gas, air conditioning, melis pine wood floors and high ceilings with moldings. The flat has an impressive marble spiral staircase, elevator and freight elevator, the flat also has a large garage, storage room attached to the property and another storage room on the roof.

Can you imagine living here?",VM2210010,596 m2,4,5,"€ 3,300,000"
Flat for sale in José Abascal street.,"Nuevos Ministerios - Ríos Rosas, Madrid city","FLAT WITH TERRACE, FIREPLACE AND GAMES ROOM.

Located in the neighborhood of Nuevos Ministerios - Ríos Rosas, close to Paseo de la Castellana, between Zurbano and Plaza de Gregorio Marañón, five minutes walk from Serrano and Velázquez, is located this impressive 596 m² property. The flat has a spacious entrance hall and distributor. The day area consists of three living rooms connected by sliding doors. The main living room has a fireplace and a large terrace of 20 m², as well as a large dining room and a guest toilet. The service area has direct access and kitchen, office, pantry, dining room, two large corridors with fitted closets and cupboards and a bedroom with bathroom for the service. In the night area has four bedrooms of which the master bedroom is en suite with a large dressing room and marble bathroom; another with en suite bathroom and two more sharing a bathroom and a games room or gym with window to patio lights; all connected by a corridor with windows to patio block also with leaded windows. The house has central heating by Natural Gas, air conditioning. The flat has an impressive marble spiral staircase, elevator and freight elevator, the property also has a large garage, storage room attached to the property and another storage room on the roof.

Can you imagine living here?",VM2210011,596 m2,4,5,"€ 3,300,000"
House for sale in Club de Golf.,"Club de Golf, Madrid Noroeste","VILLA WITH GARAGE, INDOOR POOL, GYM, SAUNA, TENNIS AND PADDLE TENNIS COURT IN LAS ROZAS.

The splendid house with more than 3,000 m² is distributed in the main house of 1,050 m² with 10 bedrooms; guest house with 2 bedrooms, 2 bathrooms, living-dining room and kitchen, outdoor garage for 5 vehicles; spa building with indoor pool, sauna, gym and changing rooms; garage building of 460 m² with large capacity for more than 20 cars or other use as office and service; outdoor pool with large gazebo, kitchen and toilet; tennis court, paddle tennis court and basketball court; security guardhouse. All on a plot of 13,700 m². The main house is partially protected by the land, so that its volume is hidden from the outside and only visible from the garden, which gives it total privacy. The property is made up of different rusted volumes. The architectural design is modern, sober and minimalist, with the exterior plastered with oxidized cement with iron sulfate and varnished oxidized steel sheet. The interior has a burnished cement floor and steel plate panels. It is the work of the emblematic architect Manuel Vicens and is one of the best mansions in the area. Among the facilities of the house are underfloor heating, air conditioning and alarm system. Located in the prestigious urbanization Club de Golf de Las Rozas, which has an 18-hole par 70 course, driving range, putting green, swimming pool, clubhouse, restaurant. There is also a tennis and paddle tennis club. Nearby there is a wide range of shopping and leisure facilities, including Las Rozas Village, Heron City and Plaza Norte. In the surroundings, there is a wide range of supermarkets, restaurants, international schools, Puerta de Hierro hospital. Very well connected to Madrid by intercity buses (15 minutes to the Moncloa interchange), suburban train stations and immediate access to the A6.

Can you imagine living here?",VMO2210004,"4,018 m2",12,15,"€ 4,000,000"
Detached house for sale in Monte Rozas.,"Monte Rozas, Madrid Noroeste","HOUSE WITH GARDEN, POOL AND GARAGE IN MONTE ROZAS.

aProperties presents a magnificent house in the residential area of Monte Rozas within walking distance of stores, shopping center, restaurants and supermarkets. The main floor consists of a spacious living-dining room connected to a kitchen with peninsula with office and pantry. All rooms with access to a large terrace at the back of the house overlooking the mountains. In addition, there is an office and a guest bathroom. On the night floor is located the master bedroom with dressing room and bathroom en suite. Also, three other bedrooms, one with en suite bathroom and a bathroom shared by the other two bedrooms, all with access to terraces. In the attic is located a games room or cinema room, plus a bedroom and a bathroom. On the semi-basement floor is the service area with another bedroom with bathroom and garage for 2 vehicles. The consolidated garden has an area with leafy trees and the pool area is much sunnier. Monte Rozas has restaurants, tennis, paddle and municipal sports clubs, shopping centers, health center and international schools. Surrounded by large expanses of green areas, oak forests that communicates to Torrelodones. It has intercity buses that take 15 minutes to reach the Moncloa interchange. It is also 5 minutes from the A6 and the Pinar de Las Rozas commuter train station.

Can you imagine living here?",VMO2210007,674 m2,6,5,"€ 1,500,000"
Duplex for sale very bright in Monte Esquinza.,"Almagro, Madrid city","VERY BRIGHT DUPLEX WITH STORAGE ROOM AND POSSIBILITY OF PARKING SPACE IN ESTATE IN ALMAGRO.

Flat located in one of the best areas of Almagro, in estate of 1978. It has an area of 243 m² distributed on two floors of 112 m² and 111 m² respectively. On the lower floor you have access to the dining room, bedroom with bathroom en suite, guest toilet, kitchen with office and a maid's room with bathroom. On the upper floor there is a comfortable living room and the master suite with two dressing rooms and bathroom. Marble floors in the lower part and wood floors in the upper part. Lacquered walls. The property has gas central heating and hot water and AACC by conduit. Storage room of 9 m². Access adapted for people with reduced mobility. Possibility of parking space for rent in the same building.

Can you imagine living here?",VM2210002,243 m2,3,4,"€ 1,790,000"
House for sale in Avenida del Doctor Arce.,"El Viso, Madrid city","HOUSE WITH TERRACE, OUTDOOR DINING ROOM, CINEMA AND SWIMMING POOL IN EL VISO.

Exclusive luxury home on a plot of 727 m², distributed in two buildings connected by an interior terrace and basement. The main building has approximately 550 m², distributed on two floors plus basement. On the main floor there is a living room of 100 m², an office with access to a terrace, a large dining room, the kitchen and the kitchenette. The living room has access to a covered terrace with summer dining room and swimming pool. On the second floor is the sleeping area, with four bedrooms. The master bedroom has a fireplace, dressing room, en suite bathroom and access to a terrace. The basement has an air-conditioned wine cellar and the service area with two rooms. The annex office building has about 300 m² distributed in three floors fully equipped with two toilets and a professional cinema with seating for twenty spectators. It has the pre-installation for the change of use of office for four rooms.

Can you imagine living here?",VM2209057,881 m2,4,7,"€ 8,700,000"
Duplex for sale renovated in Huertas-Cortes.,"Huertas - Cortes, Madrid city","BRAND NEW FLAT, VERY BRIGHT WITH FLOOR TO CEILING WINDOWS IN AMOR DE DIOS.

aProperties presents a fantastic and elegant brand new flat in a privileged location that stands out for its fantastic natural light and its excellent reform. Located on the 2nd floor in a mansion dating from 1900 in the neighborhood of Las Letras, it has 105 m² between the two floors; Thanks to its large floor-to-ceiling windows overlooking the courtyard garden of the palace facing south, the apartment enjoys excellent natural light. On the first floor we find the large living room with its beautiful balcony. The kitchen is incorporated into the living room, modern style, with a large island surrounded by a dining table, creating a modern and cozy atmosphere. It is fully equipped with plenty of storage capacity and a spectacular design staircase that adds character to the whole room. On the same first floor is the master bedroom with balcony and floor to ceiling windows, en suite bathroom with shower. On the second floor there is a second double bedroom with dressing room and en suite bathroom with shower. It is necessary to highlight the successful reform carried out, both for its modern design, making a successful use of wood and other noble materials, as for its excellent execution. This fantastic flat has ceilings up to 4.70 meters high, air conditioning, heating with designer radiators. The Palacete has a majestic entrance and concierge, there is also the possibility of acquiring a parking space in the same building with direct access from the elevator. Community fees 105 €. Undoubtedly a unique property, cheerful and excellently located.

Can you imagine living here?",VM2209079,105 m2,2,2,"€ 990,000"
Flat for sale with apartment in Hispanoamerica.,"Bernabéu - Hispanoamérica, Madrid city","BRIGHT FLAT WITH TERRACES VERY CLOSE TO THE SANTIAGO BERNABEU STADIUM.

Aproperties presents a fantastic bright flat with separate apartment of a total of 376 sqm, according to cadastre, with terraces and storage room of 17 sqm in the heart of the neighborhood of Hispanoamerica. It is located two steps from the Santiago Bernabeu stadium, at the height of Professor Waksman street. The MAIN HOUSE consists of four double bedrooms (two of them en suite), a maid's room or ironing room, four bathrooms, a guest toilet, a fully equipped kitchen and a large living room with access to a wonderful terrace of about 21 sqm. Two of the bedrooms also have direct access to another terrace of 9 m². The APARTMENT, with separate entrance from the main house, consists of a spacious double bedroom with bathroom and kitchen integrated in the living room. The apartment was completely renovated in 2020 by a prestigious architectural firm, using top quality materials and making a very functional and elegant use of the spaces. It has central heating, ducted air conditioning, concierge service and service entrance.

Can you imagine living here?",VM2210001,376 m2,6,6,"€ 3,000,000"
Flat for sale in Príncipe de Vergara.,"Castellana, Madrid city","In the emblematic Barrio de Salamanca, calle Príncipe Vergara, you have 271 m2 and 28 m2 of terrace.

perfect for investment with very good profitability with private terrace, it has 271 m2 and 28 m2 of terrace, in representative property of great beauty.

It has 6 bedrooms, bathroom, kitchen, interior patio for private use and a large storage room in the property itself. It has air conditioning, central heating, porter service and lift.

Can you imagine living here?",VM2312004,284 m2,6,1,"€ 1,700,000"
Flat for sale in Puerta de Hierro.,"Puerta de Hierro - Ciudad Universitaria, Madrid city","RENOVATED FLAT WITH LARGE WINDOWS OVERLOOKING ITS OWN TERRACE IN PUERTA DE HIERRO.

Aproperties presents wonderful renovated flat of 218 m² in Puerta de Hierro. The urbanization with 24 hour doorman has large gardens, playgrounds and two swimming pools, one indoor for winter and one outdoor for the summer months. Being a classic estate, it has main and chauffeur access. Housing renovated in 2019 in its entirety. It has a large south terrace of 144 m² (12x12), giving the house a large garden space. The flat is accessed from a hall open to the main living and dining area. Both rooms are also open to the huge terrace through large windows, creating a space of great warmth and spaciousness. The kitchen has a double circulation, from the hallway leading to the night area or from the hall with access to the dining room, from it you can access both the laundry and ironing room and the service bedroom with its corresponding bathroom. Before accessing the night area we can find a guest toilet with an extraordinary wallpaper. In the night area, there were 4 bedrooms, the master en suite and three more, but in the last reform the middle bedroom was opened to the other two, thus giving a playroom space with lots of light and space. Both bedrooms share a bathroom. The entire corridor of bedrooms has closets throughout its length. The flat has two parking spaces and two storage rooms. The heating is central with individual meters as well as hot water and has AACC ducts throughout the flat. The residential area of Puerta de Hierro owes its name to the monumental door of baroque classicist style that bears the same name. Located on the outskirts of Madrid, in the northwest, in the vicinity of El Pardo, a hunting area historically reserved for the Spanish Monarchy. Nearby, the Real Club de Puerta de Hierro, the first golf club in the capital, of great prestige and for more than a century, a social meeting place for the aristocracy and the traditional economic elites, with the honorary presidency of the club being held by H.M. the King. Just 5 minutes from the capital through the Sor Ángela de la Cruz tunnel, surrounded by numerous green areas such as the natural environment of La Dehesa de la Villa park, one of the largest in Madrid, with an area of 700,000 m². In short, it is a prestigious residential area of the capital, where its inhabitants enjoy the tranquility that the whole area provides with a very good communication to the M-30, M-40 and the A-6. The Complutense University area, La Zarzuela Hippodrome, Pozuelo, Aravaca and Valdemarín are just a few steps away and the Moncloa interchange is just a few minutes away.

Can you imagine living here?",VM2212049,218 m2,4,3,"€ 1,450,000"
Duplex penthouse for sale in Chueca-Justicia.,"Chueca - Justicia, Madrid city","EXTERIOR DUPLEX PENTHOUSE WITH 6 BALCONIES IN JUSTICIA.

This prodigious duplex penthouse has 350 m², divided into two floors. Currently, it has two spectacular living rooms with 6 exterior balconies, fully equipped kitchen with appliances. Four bedrooms and four bathrooms, the master bedroom with dressing area and en suite bathroom with a beautiful and unique reform. We communicate internally by a staircase of marble and wood with a spectacular design. Each floor has an independent entrance and luxury finishes with the best quality materials. It is located in a stately estate built in 1900 in the Chueca - Justicia neighborhood, enjoying a very good state of preservation. The neighborhood of Justicia - Chueca is, for years, one of the trendiest neighborhoods in the center of the capital. Fuencarral Street has become the spinal cord of Madrid's leisure. Like many other central areas of Madrid, the neighborhood of Chueca has quite an alternative atmosphere and nightlife. Some improvised chroniclers have even compared it to London's Camden Town, New York's East Village, Lisbon's Barrio Alto, Porto's Baixa do Porto or Berlin's Kreuzberg.

Can you imagine living here?",VM2209048,350 m2,4,4,"€ 3,700,000"
